file,name,wins,losses,games,win_rate,terminal,colors,total_cards,draft_id,build_index
1wins_4games_3losses_wr25_id119185.dck,1wins_4games_3losses_wr25_id119185,1,3,4,25.00,eliminated,WUBG,40,a412dcd464a44b53859a504e439230ff,0
3wins_6games_3losses_wr50_id089932.dck,3wins_6games_3losses_wr50_id089932,3,3,6,50.00,eliminated,UR,40,cb21328e4c9a43fba8f16ff563437cdc,0
7wins_8games_1losses_wr88_id050480.dck,7wins_8games_1losses_wr88_id050480,7,1,8,87.50,trophy,WR,40,43ff107d336b4344a1504b6a272bffb6,1
3wins_6games_3losses_wr50_id118545.dck,3wins_6games_3losses_wr50_id118545,3,3,6,50.00,eliminated,BG,40,ea4d86515bef4bedbd7c808db76e2e50,0
5wins_8games_3losses_wr62_id083236.dck,5wins_8games_3losses_wr62_id083236,5,3,8,62.50,eliminated,WBG,40,fa488bd91b8c4664ad015564c8885ec7,0
1wins_4games_3losses_wr25_id110430.dck,1wins_4games_3losses_wr25_id110430,1,3,4,25.00,eliminated,UR,40,6e2df76702e649ce85f9a476ded9de6a,0
0wins_3games_3losses_wr0_id115427.dck,0wins_3games_3losses_wr0_id115427,0,3,3,0.00,eliminated,WR,40,734bea8eeab841a9b0d3c27e0246bd73,0
1wins_4games_3losses_wr25_id046522.dck,1wins_4games_3losses_wr25_id046522,1,3,4,25.00,eliminated,WUR,40,46c77a74d78b4d25947965fedafdd317,0
4wins_7games_3losses_wr57_id020731.dck,4wins_7games_3losses_wr57_id020731,4,3,7,57.14,eliminated,WB,40,b5d9a07c6a5e4577ad07e89e251609d3,0
6wins_9games_3losses_wr67_id076101.dck,6wins_9games_3losses_wr67_id076101,6,3,9,66.67,eliminated,WUR,42,00d4d7b897f4432381e72f590c6acf89,0
0wins_3games_3losses_wr0_id085104.dck,0wins_3games_3losses_wr0_id085104,0,3,3,0.00,eliminated,WUR,40,11546ea6a316462db0810f70465a8e71,0
6wins_9games_3losses_wr67_id000469.dck,6wins_9games_3losses_wr67_id000469,6,3,9,66.67,eliminated,WB,40,6475dbcf549b4b2e8f1d4a1cfd066279,0
2wins_5games_3losses_wr40_id022862.dck,2wins_5games_3losses_wr40_id022862,2,3,5,40.00,eliminated,BG,40,1028fabc9e3a40029f64002c8bca29bb,0
1wins_4games_3losses_wr25_id058877.dck,1wins_4games_3losses_wr25_id058877,1,3,4,25.00,eliminated,UBG,40,626a6b51e45e44df90d2dc951864c80c,0
3wins_6games_3losses_wr50_id007447.dck,3wins_6games_3losses_wr50_id007447,3,3,6,50.00,eliminated,WB,40,398c6c960608483fb530711da06c0312,0
5wins_8games_3losses_wr62_id072611.dck,5wins_8games_3losses_wr62_id072611,5,3,8,62.50,eliminated,UR,40,6e81ad6451dd4f4c891cc7091e8751a6,0
