index	card_name
0	Aberrant Manawurm
1	Abigale, Poet Laureate
2	Abrade
3	Abstract Paintmage
4	Ad Nauseam
5	Additive Evolution
6	Adrix and Nev, Twincasters
7	Adventurous Eater
8	Ajani's Response
9	Akroma's Will
10	Ambitious Augmenter
11	Ancestral Anger
12	Angel's Grace
13	Antiquities on the Loose
14	Applied Geometry
15	Arcane Omens
16	Archaeomancer
17	Archaic's Agony
18	Archmage Emeritus
19	Ark of Hunger
20	Armageddon
21	Arnyn, Deathbloom Botanist
22	Artistic Process
23	Ascendant Dustspeaker
24	Awaken the Woods
25	Aziza, Mage Tower Captain
26	Banishing Betrayal
27	Berserk
28	Berta, Wise Extrapolator
29	Biblioplex Tomekeeper
30	Big Score
31	Bitter Triumph
32	Blazing Firesinger
33	Blech, Loafing Pest
34	Bogwater Lumaret
35	Borrowed Knowledge
36	Brain Freeze
37	Bring to Light
38	Brotherhood's End
39	Brush Off
40	Bulk Up
41	Burrog Banemaker
42	Burrog Barrage
43	Burst Lightning
44	Campus Composer
45	Cauldron of Essence
46	Charging Strifeknight
47	Chase Inspiration
48	Cheerful Osteomancer
49	Chelonian Tackle
50	Choreographed Sparks
51	Codie, Vociferous Codex
52	Colorstorm Stallion
53	Colossus of the Blood Age
54	Comforting Counsel
55	Conciliator's Duelist
56	Cost of Brilliance
57	Crackle with Power
58	Crop Rotation
59	Cuboid Colony
60	Culling Ritual
61	Culling the Weak
62	Cyclonic Rift
63	Daydream
64	Daze
65	Deathcap Glade
66	Decorum Dissertation
67	Deduce
68	Deflecting Palm
69	Deluge Virtuoso
70	Diary of Dreams
71	Dig Site Inventory
72	Dina's Guidance
73	Disdainful Stroke
74	Dismember
75	Dissection Practice
76	Divergent Equation
77	Dreamroot Cascade
78	Dualcaster Mage
79	Duel Tactics
80	Duty Beyond Death
81	Eager Glyphmage
82	Echocasting Symposium
83	Efflorescence
84	Elemental Mascot
85	Elite Interceptor
86	Embrace the Paradox
87	Emeritus of Abundance
88	Emeritus of Conflict
89	Emeritus of Ideation
90	Emeritus of Truce
91	Emeritus of Woe
92	Emil, Vastlands Roamer
93	Empty the Warrens
94	Encouraging Aviator
95	End of the Hunt
96	Ennis, Debate Moderator
97	Environmental Scientist
98	Erode
99	Essence Scatter
100	Essenceknit Scholar
101	Eternal Student
102	Exhibition Tidecaller
103	Expressive Firedancer
104	Expressive Iteration
105	Feed the Swarm
106	Fields of Strife
